entity1,type1,entity2,type2
Denis,Name,OAS,Org
Matt Waldman,Name,Carr Centre for Human Rights at Harvard,Org
Axelrod,Name,Obamas,Org
Reno,Name,WJC,Org
Cheryl,Name,Mills,Org
Reno,Name,WJC,Org
Melanne,Name,UN,Org
McFarland,Name,Ulster Unionist,Org
Clintons,Name,Senate,Org
David Cameron,Name,Ofcom,Org
James Murdoch,Name,Ofcom,Org
Hilary Clinton,Name,UN Gen.,Org
Petraeus,Name,Joint Chiefs of Staff,Org
Wadah Khanfar,Name,Al Jazeeras,Org
Ben Fishman,Name,NSS,Org
Qataar,Name,NileSat,Org
McChrystal,Name,Congress,Org
Jackie,Name,Verizon Wireless,Org
Frank Shakespeare,Name,Nixons,Org
Maggie,Name,WJC,Org
Nixon,Name,National Review,Org
Nixon,Name,Rockefeller,Org
Welch,Name,Birch Society,Org
Sally Quinn,Name,HRC,Org
Feinman,Name,HRC,Org
Cheryl,Name,Mills,Org
DAmato,Name,Banking Committee,Org
Ronald Reagans,Name,Nixons,Org
Ronald Reagans,Name,National Review,Org
Gerald Ford,Name,National Review,Org
Bunning,Name,Senate,Org
Max Blumenthal,Name,Tea Party & Americas,Org
Clinton,Name,American Society for Industrial Security,Org
E Ann Stock,Name,Senate,Org
Udall,Name,Senate,Org
Reagan,Name,Contrast Obamas,Org
Clair,Name,Windiusii Ventures NcL P Windrush Ventures Limited,Org
Romney,Name,Muslim Brotherhood,Org
Cheryl,Name,Mills,Org
Heyman,Name,Harvard Law School,Org
Heyman,Name,Yale,Org
Heyman,Name,Justice Department,Org
Robert F. Kennedy,Name,Yale,Org
Robert F. Kennedy,Name,Justice Department,Org
Heyman,Name,GAF,Org
Heyman,Name,GAF,Org
Richard Posner,Name,7th Circuit Court of Appeals,Org
Edward Campbell,Name,Mills,Org
Jim Allister,Name,DUP,Org
Shaun Woodward,Name,republican,Org
Gerry Adams,Name,Sinn Fein,Org
Schiraldi,Name,D.C. Board of Education,Org
Domenicis,Name,Formans,Org
Jim Allister,Name,Traditional Unionist Voice,Org
Jim Allister,Name,DUP,Org
Forman,Name,Yale Law School,Org
Cheryl,Name,Mills,Org
Blanchard,Name,Intel,Org
Blanchard,Name,Microsoft,Org
Blanchard,Name,Dell,Org
Gephardt,Name,Intel,Org
Gephardt,Name,Microsoft,Org
Gephardt,Name,Dell,Org
Mike Michael H.,Name,U.S. Department of State,Org
Glenn Beck,Name,Tea Party,Org
McChrystal,Name,White House,Org
McChrystal,Name,NSC,Org
CODEL Webb,Name,Mills,Org
CODEL Webb,Name,Aung San Suu Kyi,Org
Julia,Name,Jounieh Star,Org
Samar al-Hajj,Name,LBC,Org
Delaney,Name,FISA,Org
Boehner,Name,House,Org
Paula,Name,House,Org
Rudd,Name,Association of Southeast Asian Nations,Org
Chas W. Freeman,Name,Norwegian Institute of International Affairs,Org
Chas W. Freeman,Name,Royal Norwegian Ministry of Foreign Affairs,Org
Chas W. Freeman,Name,USFS,Org
Basescu,Name,EU,Org
Clinton,Name,State Department,Org
Hillary Rodham Clinton,Name,State,Org
Cheryl,Name,Mills,Org
Miguel Angel Jaramillo,Name,Lear Corp.,Org
Paik Hak-soon,Name,YouTube,Org
Paik Hak-soon,Name,Sjong Institute,Org
Marc Sageman,Name,CIA,Org
Lad Brainard,Name,Brookings Institution,Org
Lael Brainard,Name,Wikipedia,Org
Abdelbaset al-Megrahi,Name,White House,Org
Obama,Name,Rahm,Org
Hillary Clinton,Name,State,Org
Cheryl,Name,Mills,Org
Gaddafi,Name,UN,Org
Boehner,Name,House,Org
Boehner,Name,Congress,Org
Neu,Name,York,Org
Neu,Name,Cordoba House,Org
Gellers,Name,Cordoba House,Org
Gordon,Name,Labour,Org
McChrystal,Name,Defense,Org
Hillary Jacqueline Newmyer,Name,Long Term Strategy Group,Org
Hamid Karzai,Name,Taliban,Org
Blair,Name,EU,Org
Obama,Name,Afghanistans Taliban,Org
Obama,Name,AP,Org
Cheryl,Name,Mills,Org
Sirajuddin Haqqani,Name,Haqqani Network,Org
Mullah Abdul Ghani,Name,Taliban,Org
Abdul Ghani Barader,Name,Taliban,Org
Mullah Mohammad Omar,Name,Taliban,Org
Stupak,Name,Congress,Org
Obama,Name,Reuters,Org
Obama,Name,Pentagon,Org
Eric Cantor,Name,House,Org
Stephen Carroll,Name,PSNI,Org
Netanyahu,Name,State,Org
Morrison,Name,Lincoln,Org
Cheryl,Name,Mills,Org
Gary McKeown,Name,SDLP,Org
Jackie Jacqueline Newmyer,Name,Long Term Strategy Group,Org
Melanne S. Verveer,Name,Global Womens Issues U.S. Department,Org
Carla Bruni,Name,Daily Mail Catty Carla Bruni,Org
Farahnaz Ispahani,Name,Parliament,Org
Robert Gates,Name,Defense,Org
Obama,Name,Pentagon,Org
Obama,Name,Pentagon,Org
Jake,Name,OTR,Org
Clinton,Name,U.N. Conference,Org
Tom Donohue,Name,Commerce and Robert Wood Johnson Foundations Rise Lavizzomourey,Org
Tom Donohue,Name,Chamber of Commerce and Robert Wood Johnson Foundations,Org
Tom Donohue,Name,of Commerce and Robert Wood Johnson Foundations Rise,Org
Jeff Kindler,Name,Pfizer,Org
Jeff Kindler,Name,PhRMA,Org
Richard Durbin,Name,Senate Judiciary Committee,Org
Bush,Name,Parliament,Org
Lyn Lusi,Name,Heal Africa,Org
Obama,Name,White House,Org
Max Baucus,Name,Senate Finance Committee,Org
Pelosi,Name,House,Org
Charles,Name,Koch Industries,Org
Joe,Name,Hrc,Org
J. Ann Selzer,Name,Selzer & Co.,Org
Anne-Marie Slaughter,Name,State Department,Org
Obama,Name,Muslim,Org
Gideon Rachman,Name,White House,Org
Obama,Name,Al Qaeda,Org
John F. Kennedys,Name,Army,Org
Lamar Alexander,Name,Senate,Org
Sarah Binder,Name,George Washington University,Org
Clintons,Name,Obamas,Org
Joe Solmonese,Name,Human Rights Campaign,Org
Bush,Name,Taliban,Org
Cameron,Name,UUP,Org
George W. Bush,Name,Nato,Org
Dobbins,Name,Coalition Provisional Authority,Org
Kevin Spacey,Name,HBO,Org
Maryse Kedar,Name,Aristide Foundation,Org
Louise Ivers,Name,PIH,Org
Louise Ivers,Name,US Army,Org
Miguel E. Rodriguez,Name,Senate Affairs Bureau of Legislative Affairs U.S. Department,Org
Miguel E. Rodriguez,Name,Bureau of Legislative Affairs U.S. Department of State,Org
al Qaeda,Name,Taliban,Org
Nigal Dodds,Name,Robinsons,Org
Nigal Dodds,Name,DUP,Org
Hillary,Name,Neera Tanden,Org
Hillary Clinton,Name,State,Org
Steven Dunaway,Name,U.S.-China Economic Relationship,Org
Rahm Emanuel,Name,White House,Org
Cbama,Name,Justice Department,Org
Boehner,Name,House,Org
Cheryl,Name,Mills,Org
Stephen Prothero,Name,Boston University,Org
Leslie H. Gelb,Name,New York Times,Org
McChrystal,Name,Joint Special Operations Command,Org
Abu Musab al-Zarqawi,Name,Al Qaeda,Org
McChrystal,Name,Navy Seal,Org
Ford,Name,Congress,Org
Skousens,Name,Stanford,Org
Obama,Name,Senate,Org
David Cameron,Name,House of Commons,Org
David H. Petraeus,Name,Central Intelligence Agency,Org
Hatikvah,Name,Knesset,Org
Hatikvah,Name,National Union Party,Org
David Miliband,Name,Labour Party,Org
Glenn Thrush,Name,Rahm,Org
Beck,Name,Kochs,Org
David,Name,Koch Industries,Org
Lona Valmoro,Name,State,Org
Reid,Name,Senate,Org
Peter,Name,Sky News,Org
Alistair,Name,Alastait Campbell,Org
Peter,Name,Alliance Party,Org
Sodini,Name,Obamas,Org
Yitzhak Rabin,Name,Tea Party,Org
Simon Johnson,Name,International Monetary Fund,Org
Sybil,Name,White House,Org
Weiner,Name,Congress,Org
Jeffrey M. Jones,Name,USA Today/Gallup,Org
George W. Bush,Name,American Enterprise Institute,Org
ODonnell,Name,Tea Party,Org
Obama,Name,Acorn,Org
Daley,Name,Northwest Side,Org
Robert Gibbs,Name,White House,Org
Ed Wang,Name,Buffalo Bills,Org
Cameron,Name,Congress,Org
David Cameron,Name,Congress,Org
Cameron,Name,US Congress,Org
Cameron,Name,Congress,Org
Clinton,Name,NFL,Org
Gregg,Name,House,Org
MARK LANDLER,Name,State,Org
Obama,Name,Harvard Law School,Org
Lona Valmoro,Name,State,Org
Obama,Name,U.S. Senate,Org
Dick Armey,Name,Tea Party,Org
Anne-Marie Slaughter,Name,Policy Planning U.S. Department of State,Org
Saddam Hussein,Name,Peoples Mojahedin of Iran,Org
Cheryl,Name,Mills,Org
Ashton,Name,Mitchell,Org
Henry Waxman,Name,Energy & Commerce Chair,Org
Baucus,Name,White House,Org
Baucus,Name,White House,Org
Baucus,Name,Energy & Commerce,Org
Anne-Marie Slaughter,Name,Policy Planning U.S. Department of State,Org
Drew Maloney,Name,Ogilvy Government Relations,Org
Boehner,Name,House,Org
Obama,Name,Reuters,Org
Vivian Redding,Name,EU,Org
Boehner,Name,House,Org
Jamal Place,Name,DCFS,Org
Joyce McCarran,Name,Stormont,Org
Sullivan,Name,Jacob Colombia Defense Cooperation,Org
Benjamin Netanyahu,Name,Time,Org
Davis,Name,Percent Pls,Org
Obama,Name,Congress,Org
Biden,Name,Rolling Stone,Org
Fallon,Name,White House,Org
Fallon,Name,Esquire,Org
McChrystal,Name,State,Org
Boehner,Name,GOP,Org
Eikenberry,Name,New York Times,Org
Noriega,Name,Visions America,Org
Yoo Ho-yeol,Name,Korea University,Org
Beck,Name,Fox News,Org
Robinson,Name,DUP,Org
Woodward,Name,Assembly,Org
Woodward,Name,State,Org
Edward Luca,Name,Financial Times Washington Bureau,Org
Edward Luca,Name,Center for American Progress,Org
Jahn,Name,White House,Org
Brimmer,Name,A/S Campbell,Org
Jasper Obakrairur,Name,United States Marines,Org
Jim Grant,Name,ORT,Org
Cheryl D,Name,Mills,Org
Obama,Name,White House,Org
Cherie,Name,GSMA,Org
Stupak,Name,House,Org
Rangel,Name,House,Org
Goodwin,Name,Sen Feinstein,Org
Lona Valmoro,Name,State,Org
Ginsburg,Name,Citizens United,Org
Netf,Name,House,Org
Dean Debnam,Name,Massachusetts Senate,Org
Cheryl,Name,Mills,Org
Obama,Name,White House,Org
Eisenhower,Name,Agriculture,Org
Skousen,Name,Church of Latter Day Saints,Org
Skousens,Name,National Center for Consti,Org
Skousens,Name,John Birch Society,Org
Hubert Humphrey,Name,Senate,Org
Anne-Marie Slaughter,Name,Policy Planning U.S. Department of State,Org
Sean Hannity,Name,Fox News,Org
Cheryl,Name,Mills,Org
Venable,Name,Tea Party,Org
Deuel,Name,DCFS,Org
Stuart Beck,Name,United Nations,Org
Richard Viguerie,Name,Tea Party,Org
Beck,Name,Tea Party,Org
Cheryl,Name,Mills,Org
Mack,Name,Tea Party,Org
Kenneth Batten,Name,Senate,Org
Cheryl,Name,Mills,Org
Clinton,Name,State Department,Org
Charles,Name,Senate,Org
Cheryl,Name,Mills,Org
Stevens,Name,Citizens United,Org
Michel Kaminski,Name,European Parliament,Org
Michel Kaminski,Name,Justice,Org
Cheryl D,Name,Mills,Org
Bob Gates,Name,U.S. Department,Org
Max Baucus,Name,NBA,Org
Jim Manley,Name,Senate,Org
John Podesta,Name,CIA,Org
Emanuel,Name,White House,Org
Hillary Clinton,Name,State,Org
Bush,Name,Congress,Org
Bauer,Name,Investigative Fund,Org
Bauer,Name,Fattal,Org
Lona Valmoro,Name,Jake Sullivan Joint Interview MS,Org
Clintons,Name,White House,Org
Brown,Name,Blairs,Org
Jeffrey Feltman,Name,Bureau of Near Eastern Affairs Department of State,Org
Cheryl,Name,Mills,Org
YouGov,Name,Labour,Org
YouGov,Name,Sunday Times,Org
Hillary Clinton,Name,State,Org
de Mistura,Name,ISAF,Org
Mullen,Name,CENTCOM,Org
Alan K Ota,Name,CQ Staff House,Org
Hill,Name,GOP,Org
Hill,Name,House,Org
Nowakowski,Name,House,Org
Cheryl D,Name,Mills,Org
Sullivan,Name,Mills,Org
Arroyos,Name,Combat Outpost JFM,Org
Ashton,Name,Economist,Org
Ashton,Name,EU,Org
Solis,Name,Verification Commission,Org
Ricardo Lagos,Name,U.S. Delegation,Org
Max Baucus,Name,Finance Committee,Org
Jean Quatremer,Name,EU,Org
Wendy R. Sherman,Name,Stonebridge Group,Org
R. Sherman Albright,Name,Stonebridge Group,Org
Giles,Name,Acorn,Org
Mack,Name,Tea Party,Org
Bill Burns,Name,European Commission,Org
Gayle,Name,PPD,Org
Gayle,Name,PPD,Org
Obama,Name,Chamber of Commerce,Org
Yossi Gal,Name,MFA,Org
Yossi Gal,Name,Ministry of Defense COGAT,Org
Cheryl,Name,WI Mills,Org
Clinton,Name,State,Org
Fox,Name,MSNBC,Org
McCaskill,Name,Levin's Armed Services Committee,Org
McCaskill,Name,Homeland Security Committee,Org
Albright,Name,Global Development,Org
Dominic Mohan,Name,The Sun,Org
Abedin,Name,Mills,Org
Leslie H. Gelb,Name,New York Times,Org
John Murtha,Name,House,Org
Laurie Laurie Rubiner,Name,Policy and Advocacy Planned Parenthood Federation of America,Org
Laurie Laurie Rubiner,Name,Public Policy and Advocacy Planned Parenthood Federation of,Org
Mitch McConnell,Name,Senate,Org
Mitch McConnell,Name,Defense Department,Org
Debra Bowen,Name,Obamas,Org
Debra Bowen,Name,state,Org
Debra Bowen,Name,Californias,Org
Sweig,Name,Congress,Org
Douglas Schwartz,Name,Quinnipiac University Poll,Org
Sandy,Name,USIP,Org
Zelaya,Name,Organization of American States,Org
Taitz,Name,Big House,Org
Taitz,Name,White House,Org
Obama,Name,Congress,Org
Glenn Beck,Name,Fox News,Org
Nancy Pelosi,Name,House of Representatives,Org
Hitler,Name,Obamas,Org
Ukip,Name,BNP,Org
Eliot Engel,Name,Mills,Org
Gideon Levy,Name,Haaretz,Org
Bernard Avishai,Name,Obama Administration,Org
Jim Allister,Name,DUP,Org
Robinson,Name,McG,Org
Empey,Name,McG,Org
Coburn,Name,Senate,Org
Shaun,Name,COS,Org
Stanley A McChrystal,Name,NATO,Org
Bauer,Name,Fattal,Org
Bolton,Name,ICC,Org
Petraeus,Name,White House,Org
Stanley McChrystal,Name,Army,Org
Andrew J. Shapiro,Name,Political-Military Affairs Department,Org
Lavrov,Name,UN,Org
Tauzin,Name,White House,Org
Tauzin,Name,White House,Org
Tauzin,Name,PhRMA,Org
Tauzin,Name,PhRMA,Org
Baucus,Name,Times,Org
Baucus,Name,White House,Org
Mir Hussein Musavi,Name,Preliminary Analysis of Voting Figures,Org
Wm. Hague,Name,EU,Org
Melanne S. Verveer,Name,Global Womens Issues U.S. Department,Org
Calio,Name,Citigroup,Org
Nancy Pelosi,Name,Time Magazine,Org
Linda Lingle,Name,Treasury,Org
Linda Lingle,Name,APEC Conference,Org
Taab,Name,Etelaat Sepah,Org
Cheryl,Name,Mills,Org
Ford,Name,NBC,Org
Faraz Sanei,Name,Human Rights Watch,Org
Mottaki,Name,Amorim,Org
Cameron,Name,Parliament,Org
Peter Robinson,Name,SDLP,Org
Michael H. Fuchs,Name,U.S. Department of State,Org
Amrullah Saleh,Name,Karzais,Org
Saleh,Name,ISI,Org
Saleh,Name,Taliban,Org
Saleh,Name,Taliban,Org
Karzai,Name,ISI,Org
Shah,Name,Gates Foundation,Org
Shah,Name,University of Pennsylvania School of Medicine,Org
Raj Shah,Name,Research,Org
Raj Shah,Name,Education and Economics,Org
Sid Tony,Name,EU,Org
Chernick,Name,Washington Institute for Near East Policy,Org
Chernick,Name,AIPAC,Org
Chiang Mai,Name,New Life Center,Org
Mahmud Ahmadinejad,Name,Ministry of Interior,Org
Leslie H. Gelb,Name,New York Times,Org
Podesta,Name,White House,Org
Podesta,Name,Centre for American Progress,Org
Netanyahu,Name,Blair House,Org
Pat Moon,Name,SCA,Org
Pat Moon,Name,SCA,Org
Barbara Feinman,Name,HRC,Org
Netanyahu,Name,Israel Radio,Org
Quinn,Name,HRC,Org
Bill,Name,Dick Cheney Lobbyist Energy,Org
Henry Kissinger,Name,State,Org
Nixon,Name,State Department,Org
Ken Loach,Name,Israeli Embassy,Org
Rubin,Name,WJC,Org
Rubin,Name,NY Senate,Org
Ming,Name,Three Kingdoms,Org
Cheryl,Name,WI Mills,Org
Harry Reid,Name,Senate,Org
Richard Holbrooke,Name,George Washington University Hospital,Org
Susan Rice,Name,United States UN,Org
Karen Davis,Name,Commonwealth Fund,Org
Yitzhak Rabin,Name,Tea Party,Org
Gordon,Name,Labour,Org
Gordon,Name,Labour,Org
David,Name,Labour,Org
Nowakowski,Name,Capitol Hill,Org
Obama,Name,Senate,Org
Durbin,Name,Senate Judiciary,Org
Reid,Name,Senate,Org
Cheryl,Name,Mills,Org
Clinton,Name,State Department,Org
Cheryl,Name,Mills,Org
James F. Dobbins,Name,Taliban,Org
Kirk,Name,NSC,Org
Romney,Name,Muslim Brotherhood,Org
John L. Espinoza,Name,Conflicts Bureau of European and Eurasian Affairs Department,Org
John L. Espinoza,Name,and Regional Conflicts Bureau of European and Eurasian,Org
John L. Espinoza,Name,Caucasus Affairs and Regional Conflicts Bureau of European,Org
John L. Espinoza,Name,Regional Conflicts Bureau of European and Eurasian Affairs,Org
John L. Espinoza,Name,Office of Caucasus Affairs and Regional Conflicts Bureau,Org
John L. Espinoza,Name,Affairs and Regional Conflicts Bureau of European and,Org
John L. Espinoza,Name,of Caucasus Affairs and Regional Conflicts Bureau of,Org
Hoagland,Name,Cingular Xpress Mail,Org
Obama,Name,ACORN,Org
Jake,Name,AMS,Org
Stevens,Name,Foreign Service,Org
Obama,Name,White House,Org
Frattini,Name,Mitchell,Org
Huma Abedin,Name,AAR,Org
Orzala Ashraf,Name,Kabul Conference,Org
Stephen Biddle,Name,Council on Foreign Relations,Org
Harold Hongju Koh,Name,Legal Adviser U.S. Department of State,Org
Obama,Name,Congress,Org
Crocker,Name,Texas A&M University,Org
Gore,Name,WJC,Org
Pierre Louis,Name,Nias Multi-Donor Trust Fund,Org
Cheryl,Name,Mills,Org
Michelle Fluornoy,Name,DOD,Org
Jacqueline Newmyer,Name,Long Term Strategy Group,Org
Frank Luntz,Name,Republican,Org
Richard Holbrooke,Name,Obamas,Org
Clinton,Name,State Department,Org
Jake Sullivan,Name,Brookings Sorry,Org
Obama,Name,Congress,Org
Rice,Name,House,Org
Scott Morris,Name,Treasurys Office of International Development Finance,Org
Clinton,Name,State,Org
Nigel Morris,Name,Tories,Org
Nigel Morris,Name,Michael Savage Poll,Org
David Cameron,Name,Michael Savage Poll,Org
YouGov,Name,News,Org
Barack Obamas,Name,Congress,Org
Netanyahu,Name,Likud,Org
Netanyahu,Name,Obamas,Org
Netanyahu,Name,Labor Party,Org
Brainard,Name,McKinsey & Co.,Org
Skousen,Name,Time,Org
Skousen,Name,Birch Society,Org
Skousen,Name,American Opinion Speakers Bureau,Org
Skousen,Name,Freemen Institute,Org
Biden,Name,MSNBC,Org
Skousen,Name,Mormon journal Dialogue,Org
Lake,Name,UNICEF,Org
Lake,Name,UNGA,Org
Lake,Name,WFP,Org
Sheeran,Name,WFP,Org
Lona Valmoro,Name,State,Org
Ros Jordan,Name,Al Jazeera,Org
Mukherjee,Name,Ministry of External Affairs,Org
Nick Clegg,Name,Liberal Democrats,Org
Gordon,Name,New Labour,Org
Saddam Hussein,Name,Peoples Mojahedin of Iran,Org
Shah,Name,PA,Org
Melanne S. Verveer,Name,Global Womens Issues U.S. Department,Org
Paul Krugman,Name,New York Times,Org
Peter Robinson,Name,DUP,Org
Richard Cohen,Name,Army,Org
Barack Obama,Name,U.N.,Org
Levins,Name,Goldman Sachs,Org
Sharif,Name,Morenos,Org
Chris Dodd,Name,Banking Committee,Org
Corker,Name,Warner,Org
J. Edgar Hoovers,Name,Mormon,Org
Skousen,Name,F.B.I.,Org
Lyn,Name,Heal Africa,Org
Miguel Estrada,Name,U.S. Court of Appeals,Org
Reich,Name,Honduran supreme court,Org
Reich,Name,House,Org
Robert Muggah,Name,Graduate Institute of International and Development Studies,Org
Thomas Shannon,Name,Senate Foreign Relations Committee,Org
Thomas Shannon,Name,Obamas,Org
Thomas Shannon,Name,Western Hemisphere Affairs,Org
Arturo Valenzuela,Name,Georgetown Universitys Center for Latin American Studies,Org
Robert Maguire,Name,Trinity Washington University,Org
Sharif,Name,El Diario,Org
Valenzuela,Name,Senate Foreign Relations Committee,Org
Madyam,Name,Arab Negev News,Org
Stevens,Name,Foreign Service,Org
Allister,Name,DUP,Org
Barbara Bush,Name,Methodist Hospital,Org
Reg Empey,Name,UUP,Org
Hillary,Name,Best,Org
Cheryl,Name,Mills,Org
Hillary Clinton,Name,State,Org
Catherine Ashton,Name,EU,Org
Lowey,Name,HRC,Org
Fords,Name,Senate,Org
Shapiro,Name,NSC,Org
Dodd,Name,Senate,Org
Ilario Pantano,Name,Tea Party,Org
David Petraeus,Name,CENTCOM,Org
Michael H. Fuchs,Name,U.S. Department of State,Org
Richard Plepler,Name,Post House,Org
Richard Plepler,Name,HBO,Org
Ford,Name,HBO,Org
Fords,Name,Senate,Org
Ronald Perelman,Name,UBS,Org
Bill Perry,Name,Defense Department,Org
Bill Perry,Name,Congress,Org
Bill Perry,Name,Defense,Org
Stephen Hadley,Name,Congress,Org
Stephen Hadley,Name,Defense,Org
Labid Abbawi,Name,MFA,Org
Ford,Name,Brooklyn Democratic Party,Org
Hillary Clinton,Name,United Nations,Org
Geller,Name,New York Times,Org
Lona Valmoro,Name,State,Org
Angela Merkel,Name,Fidesz,Org
Angela Merkel,Name,European People's Party,Org
Angela Merkel,Name,Christian Democratic Union Party,Org
Blair,Name,Sarkozys,Org
Blair,Name,EU,Org
Sarkozy,Name,Nazis,Org
Sarkozy,Name,Roma,Org
Sarkozy,Name,EU,Org
Phillips,Name,Kochs,Org
Phillips,Name,Financial Times,Org
Haider,Name,European Union,Org
Rush Limbaugh,Name,Obamas,Org
Rush Limbaugh,Name,Mercatus Center,Org
Haider,Name,Fidesz,Org
McGuinness,Name,UUP,Org
Ahmadinejad,Name,Mossad,Org
Harold McGraw III,Name,USIBC,Org
Abclel Rahman,Name,NTC,Org
Cheryl,Name,Mills,Org
John Kerry,Name,UNGA,Org
Charles,Name,Kochs,Org
Hillary Clinton,Name,Dove World Outreach Center,Org
Hillary Clinton,Name,State,Org
Charles,Name,Birch Society,Org
Ali Dayan Hasan,Name,Human Rights Watch,Org
Yohannes,Name,MCC,Org
Yohannes,Name,MCC,Org
Friedmans,Name,Medicare,Org
Belhaj,Name,Jalils,Org
al Juwali,Name,NTC,Org
Baucus,Name,Senate,Org
Ed Clark,Name,Libertarian Party,Org
Steve Schwarzman,Name,Blackstone,Org
Lona Valmoro,Name,State,Org
Jalil,Name,ENI,Org
W. Adams St.,Name,Chicago-Kent College of Lew Office of Alumni,Org
Michael H. Fuchs,Name,U.S. Department of State,Org
Jalil,Name,NTC,Org
Murdoch,Name,BBC,Org
Gordon Brown,Name,Labour Party,Org
Gordon Brown,Name,Labour,Org
Margot Wallstrom,Name,UN,Org
Miguel E. Rodriguez,Name,Bureau of Legislative Affairs U.S. Department of State,Org
Miguel E. Rodriguez,Name,Senate Affairs Bureau of Legislative Affairs U.S. Department,Org
Clintons,Name,White House,Org
Obama,Name,Obama Administration,Org
Lord Ashcroft,Name,Conservative Party,Org
Gadhafi,Name,International Criminal Court,Org
Ashton,Name,European Council,Org
Cameron,Name,EPP,Org
Armey,Name,FreedomWorks,Org
Sarah PalM,Name,Tea Party,Org
Sarah PalM,Name,Tea Party,Org
Armey,Name,Tea Party,Org
Ibrahim,Name,GEO,Org
Phil Webster,Name,The Times,Org
Nancy Pelosi,Name,House,Org
Webster,Name,New Labour,Org
Ron Paul,Name,Kentuckys GOP,Org
Palin,Name,Tea Party,Org
Harry Reid,Name,Senate,Org
Betsy McCaughey,Name,Palins,Org
Stupak,Name,RedState.org,Org
Obama,Name,Tea Party,Org
Obama,Name,House,Org
Obama,Name,Capitol,Org
Jim,Name,HRC,Org
Emanuel Cleaver,Name,Capitol,Org
Jim,Name,NPR,Org
Ash Carter,Name,Defense,Org
Sandy Winnefeld,Name,Joint Chiefs of Staff,Org
Clapper,Name,National Intelligence,Org
Thomas Pickering,Name,Congress,Org
John Boehner,Name,House,Org
Mustafa Abdel Jalil,Name,NTC,Org
Mustafa Abdel Jalil,Name,National Transitional Council,Org
Abdel Rahman al-Keib,Name,NTC,Org
Jalil,Name,NTC,Org
Obama,Name,Gallup,Org
Jalil,Name,NTC,Org
Taitz,Name,Big House,Org
Taitz,Name,White House,Org
Adam Gadhan,Name,American al Qaeda,Org
Glenn Beck,Name,Fox News,Org
Netanyahu,Name,Likud,Org
Gayle Tzemach Lemmon,Name,ABC News,Org
Marvin Hier,Name,Simon Wiesenthal Center of Los Angeles,Org
James Murdoch,Name,BBC Trust,Org
Lee,Name,UT,Org
Jack,Name,Piper,Org
Kirk,Name,GOP,Org
Philip J. Crowley,Name,State Department,Org
Fink,Name,Kochs,Org
John Podesta,Name,Center for American Progress,Org
Podesta,Name,Financial Times,Org
Bill Clinton,Name,White House,Org
McChrystal,Name,State Department,Org
Obama,Name,Times of London,Org
Harold Harold Hongju,Name,Legal Adviser U.S. Department of State,Org
Corning,Name,Pepsi,Org
Corning,Name,Microsoft,Org
Cheryl,Name,WJC,Org
Ginsberg,Name,NBA,Org
Wiley Drake,Name,Orange County radio,Org
Alexis de Tocqueville,Name,Senate,Org
Hillary From Sid,Name,Intel,Org
Tocqueville,Name,Senate,Org
Geed Wilders,Name,European and American Islamophobes,Org
Geed Wilders,Name,Cordoba House,Org
Geert Wilders,Name,Dutch People's Party for Freedom and Democracy,Org
Joanne Lasczcych,Name,State Department Operations,Org
Lona Valmoro,Name,State,Org
Geller,Name,Emdish Defense League,Org
MATTHEW LEE,Name,AP,Org
MATTHEW LEE,Name,State,Org
Hillary Rodham Clinton,Name,State,Org
David Foster Wallace,Name,Kenyon College,Org
Arad,Name,IDF Spokesmans Office,Org
Kerry,Name,IAEA,Org
Kevin Rudds,Name,Asia-Pacific Community,Org
Palin,Name,Tea Party,Org
Robert Gates,Name,Defense,Org
Cheryl,Name,Mills,Org
Timothy Geithner,Name,Treasury,Org
Wilders,Name,EDL,Org
Dean Baker,Name,Center for Economic and Policy Research,Org
Mullen,Name,CENTCOM,Org
Dodd,Name,Senate,Org
Corker,Name,Warner,Org
Mitch McConnell,Name,Wall Street,Org
Platts,Name,McGraw-Hill Companies,Org
Platts,Name,MHP,Org
Platts,Name,J.D. Power and Associates,Org
Platts,Name,McGraw-Hill Education,Org
Platts,Name,NYSE,Org
Lona Valmoro,Name,State,Org
Iris Robinsons,Name,Assembly,Org
Iris Robinsons,Name,Ulster Unionist,Org
Reg Empey,Name,Ulster Unionist,Org
Cheryl D Fw,Name,CIA,Org
Sean Smith,Name,State Department,Org
Jacob J AMS,Name,Policy Planning U.S. Department of State,Org
Woodward,Name,BBC Radio,Org
Height,Name,Presidential Medal of Freedom,Org
David Cameron,Name,UUP,Org
George Bush,Name,UUP,Org
Empey,Name,DUP,Org
Peter Robinson,Name,DUP,Org
McGuinness,Name,UUP,Org
Lona Valmoro,Name,State,Org
Robert Gates,Name,Defense,Org
Netanyahu,Name,Palestinian Authority,Org
Cheryl,Name,Mills,Org
Hillary Rodham Clinton,Name,AP,Org
Hillary Rodham Clinton,Name,State,Org
Charles Clarke,Name,Evening Standard,Org
Lona Valmoro,Name,State,Org
Melanne S. Verveer,Name,Global Women's Issues U.S. Department,Org
Cheryl,Name,Mills,Org
Obama,Name,White House,Org
Martin Kramer,Name,Washington Institute for Near East Policy,Org
Lee Bollinger,Name,Columbia,Org
Massad,Name,Columbia,Org
Tamara Wittes,Name,NEA,Org
Jeffrey Feltman,Name,Bureau of Near Eastern Affairs Department of State,Org
Mahathir (Mohamad,Name,ASEAN,Org
David Maziar,Name,Newsweek,Org
Tim Rieser,Name,Senate,Org
